"","X","year","EU","country","avgIGO","fdi","income","incomeGrowth","loan","polity","pop","rank","corruptControl","stateFragility","elecDem","interact","income.f","polity.f","loan.f","income.dollars"
"23",23,2006,0,"United States of America (the)",95,2.15405178070068,10.8300771713257,0.00158808939158916,0,10,2988.60519,11,1.35331594944,34.5,0.845,0.0158808939158916,"High","Democratic","No Debt",50517.605149156
"24",24,2007,0,"United States of America (the)",95,2.39412713050842,10.8383960723877,0.000768129422795027,0,10,3016.55953,12,1.38546705245972,33.6,0.896,0.0076812943443656,"High","Democratic","No Debt",50939.6089786364
"25",25,2008,0,"United States of America (the)",95,2.31742429733276,10.8261795043945,-0.00112715642899275,0,10,3044.73143,12,1.45021200180054,32.8,0.899,-0.0112715642899275,"High","Democratic","No Debt",50321.0875789282
"26",26,2009,0,"United States of America (the)",95,1.11717808246613,10.7890119552612,-0.00343311787582934,0,10,3072.31961,13,1.29435205459595,34,0.899,-0.0343311801552773,"High","Democratic","No Debt",48485.1068863938
"27",27,2010,0,"United States of America (the)",95,1.76445090770721,10.8054456710815,0.00152319006156176,0,10,3098.7617,11,1.27147901058197,35.3,0.907,0.0152319008484483,"High","Democratic","No Debt",49288.480480845
"28",28,2011,0,"United States of America (the)",95,1.69801688194275,10.81325340271,0.000722573779057711,0,10,3123.90368,13,1.26910102367401,34.8,0.934,0.00722573790699244,"High","Democratic","No Debt",49674.8179558634
"29",29,2012,0,"United States of America (the)",95,1.54961955547333,10.8275671005249,0.00132371799554676,0,10,3147.99465,14,1.41071999073029,34.8,0.937,0.0132371801882982,"High","Democratic","No Debt",50390.9613924355
"46",46,2006,0,"Canada",97,4.88836097717285,10.6399755477905,0.00140523875597864,0,10,326.11436,13,1.96255397796631,23.1,0.869,0.0140523873269558,"High","Democratic","No Debt",41771.7497944504
"47",47,2007,0,"Canada",97,8.22013282775879,10.6485528945923,0.000806143449153751,0,10,329.82275,13,2.00090003013611,25.1,0.82,0.00806143414229155,"High","Democratic","No Debt",42131.5815738441
"48",48,2008,0,"Canada",97,4.52621078491211,10.6487531661987,1.88074009201955e-05,0,10,333.63256,13,2.00268888473511,26.3,0.83,0.000188074016477913,"High","Democratic","No Debt",42140.0201783444
"49",49,2009,0,"Canada",97,1.52655458450317,10.6098413467407,-0.00365411979146302,0,10,337.46559,11,2.06178903579712,27.7,0.88,-0.0365411974489689,"High","Democratic","No Debt",40531.768245678
"50",50,2010,0,"Canada",97,1.84155881404877,10.6318407058716,0.00207348610274494,0,10,341.26173,12,2.06979894638062,27.9,0.861,0.0207348614931107,"High","Democratic","No Debt",41433.3216093966
"51",51,2011,0,"Canada",97,2.14229226112366,10.6501197814941,0.00171927665360272,0,10,344.99905,12,1.97788298130035,27.7,0.879,0.0171927660703659,"High","Democratic","No Debt",42197.6487435387
"52",52,2012,0,"Canada",97,2.70668840408325,10.6585493087769,0.000791496015153825,0,10,348.68151,13,1.92713594436646,26.8,0.889,0.0079149603843689,"High","Democratic","No Debt",42554.8584140413
"69",69,2006,0,"Dominican Republic (the)",61,4.01061487197876,9.20399570465088,0.00954440049827099,1.17552959918976,8,93.71333,113,-0.700955390930176,85,0.662,0.0763552039861679,"Moderately High","Democratic","Low Debt",9936.75417576643
"70",70,2007,0,"Dominican Republic (the)",61,5.10055780410767,9.27124977111816,0.00730705121532083,1.09071886539459,8,95.04336,113,-0.747673988342285,80.6,0.661,0.0584564097225666,"Moderately High","Democratic","Low Debt",10628.0261899586
"71",71,2008,0,"Dominican Republic (the)",61,5.65015172958374,9.2883939743042,0.00184917927253991,0.948866844177246,8,96.36491,111,-0.725965321063995,78.4,0.661,0.0147934341803193,"Moderately High","Democratic","Low Debt",10811.8061091463
"72",72,2009,0,"Dominican Republic (the)",61,3.50438356399536,9.28418064117432,-0.000453612650744617,1.56309187412262,8,97.67737,116,-0.778066575527191,77.7,0.661,-0.00362890120595694,"Moderately High","Democratic","Low Debt",10766.3482001778
"73",73,2010,0,"Dominican Republic (the)",61,3.37180924415588,9.35068893432617,0.007163614500314,1.61472845077515,8,98.97983,117,-0.843630075454712,76.8,0.665,0.057308916002512,"Moderately High","Democratic","Low Debt",11506.7481088047
"74",74,2011,0,"Dominican Republic (the)",61,3.80116772651672,9.36554336547852,0.00158859218936414,1.48430979251862,8,100.2714,111,-0.812097370624542,76.9,0.662,0.0127087375149131,"Moderately High","Democratic","Low Debt",11678.9501214328
"75",75,2012,0,"Dominican Republic (the)",61,5.63142919540405,9.37882423400879,0.00141805643215775,1.50973868370056,8,101.55036,110,-0.859959781169891,74.1,0.654,0.011344451457262,"Moderately High","Democratic","Low Debt",11835.0912725904
